Network;Species;Group;Kingdom;Phylum;Class;Order;Family;Genus;BodyWeight;FeedingMode;MetabolicCategory;TrophicLevel;FeedingType;Mobility;Environment;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;Vulnerability;Generality
loughhyne;Microstomus_172888;I;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Pleuronectidae;Microstomus;2950;"predator";"ectotherm vertebrate";3.5;"carnivorous";4;"demersal";231;279;174;4;113;2;0;0;599;15;44;55;6;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;24
loughhyne;Phtisica_95442;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Phtisicidae;Phtisica;3.46E-02;"grazer";"invertebrate";2;"herbivorous/detrivorous";3;"benthic";1;1456;0;47;30;2;0;0;158;101;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2
loughhyne;Caprella_95395;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Caprella;2.64E-02;"predator";"invertebrate";3.26;"omnivorous";3;"benthic";166;1376;63;47;235;2;0;0;551;101;43;80;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;15;21
loughhyne;Cordylophora_48893;I;Animalia;Cnidaria;Hydrozoa;Anthoathecatae;Oceanidae;Cordylophora;6.36E-01;"predator";"invertebrate";3.05;"omnivorous";2;"benthic";44;106;13;17;23;1;0;0;689;1;21;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;12
loughhyne;Phaeophila_6611;B;Plantae;Chlorophyta;Chlorophyceae;Chaetophorales;Chaetophoraceae;Phaeophila;0.0606;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthic";0;1586;0;217;0;3;0;0;0;332;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0
loughhyne;Salmo_161997;I;Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Salmo;46800;"predator";"ectotherm vertebrate";4.11;"carnivorous";4;"benthopelagic";199;66;145;0;48;0;0;0;833;1;147;6;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;27
loughhyne;Gadhus_error;I;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Gadus;96000;"predator";"ectotherm vertebrate";3.52;"carnivorous";4;"benthopelagic";5059;120;1026;0;365;0;55;175;1254;4;608;63;2;38;0;6;4;4;0;1;0;0;1;0;4;4;0;0;0;0;6;109
loughhyne;Microphytobenthos_error;B;Plantae;Other;Other;Other;Other;Other;0.00000000000001;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthopelagic";0;225;0;681;0;1;0;0;0;645;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0
loughhyne;Aphrodite_error;I;Animalia;Annelida;Polychaeta;Phyllodocia;Aphroditidae;Aphrodita;6.36E-01;"predator";"invertebrate";3.35;"omnivorous";3;"benthic";88;1388;50;113;70;2;3;2;58;487;3;406;73;12;1;0;5;1;0;0;0;0;0;0;0;33;0;0;0;0;36;16
loughhyne;Escharella_156636;I;Animalia;Ectoprocta;Gymnolaemata;Cheilostomata;Escharellidae;Escharella;5.43E-02;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";3;257;0;12;9;0;0;0;266;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
loughhyne;Detritus_error;B;Other;Other;Other;Other;Other;Other;0.00000000000001;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthopelagic";0;395;0;1088;0;3;0;0;0;3128;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0
loughhyne;Asterina_206814;I;Animalia;Echinodermata;Asteroidea;Spinulosida;Asterinidae;Asterina;1.48E-01;"predator/scavenger";"invertebrate";2.31;"omnivorous";2;"benthic";0;798;0;52;14;3;0;0;79;73;0;1;31;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1
